openTimeMs,open,high,low,close,volume,closeTimeMs,quoteAssetVolume,tradeCount,takerBuyBaseVolume,takerBuyQuoteVolume,ignore
1770724800000,68535.02000000,69591.20000000,67800.00000000,69293.37000000,5843.11364000,1770739199999,402003350.45726210,1327368,3051.97985000,210084853.35999080,0
1770739200000,69293.37000000,69993.65000000,68604.63000000,69062.01000000,3997.49855000,1770753599999,277163373.07960550,1017925,1746.33684000,121183083.17808710,0
1770753600000,69062.00000000,69136.91000000,68362.00000000,68841.29000000,1340.57931000,1770767999999,92136206.56036840,353345,556.13025000,38220735.06022850,0
1770768000000,68841.28000000,69292.88000000,68011.11000000,68187.99000000,1918.23444000,1770782399999,131863432.15003220,608169,885.02244000,60847249.63644810,0
1770782400000,68188.00000000,68325.00000000,66557.99000000,67032.72000000,5175.02607000,1770796799999,348037184.18065550,1092642,2482.99742000,166884369.20461570,0
1770796800000,67032.71000000,67134.42000000,66369.49000000,67053.03000000,3914.08731000,1770811199999,261553860.04734320,835269,1711.65660000,114439100.03347600,0
1770811200000,67053.03000000,68834.34000000,65756.00000000,66519.73000000,9148.58414000,1770825599999,613687854.30771330,2193292,4762.16114000,319545755.49453550,0
1770825600000,66519.72000000,67860.44000000,65876.00000000,67586.67000000,5004.87150000,1770839999999,334532505.58570090,1424330,2613.55240000,174800761.76276150,0
1770840000000,67586.66000000,68369.77000000,66787.70000000,67082.52000000,3557.44256000,1770854399999,240839111.27266950,802875,1880.11997000,127386512.13765050,0
1770854400000,67082.52000000,68047.48000000,67055.53000000,67580.99000000,2100.97039000,1770868799999,141942869.01330560,770076,965.91966000,65263272.24195290,0
1770868800000,67581.00000000,67682.69000000,66670.45000000,67217.72000000,2710.60187000,1770883199999,182063344.23494780,823443,1514.06605000,101702347.72978780,0
1770883200000,67217.71000000,68299.00000000,66891.60000000,68076.01000000,3668.05630000,1770897599999,248201740.51730600,859926,1966.94625000,133225643.75896690,0
1770897600000,68076.01000000,68410.52000000,67014.98000000,67134.74000000,4824.24216000,1770911999999,326864449.87370720,1510255,2420.26969000,164016992.03481770,0
1770912000000,67134.74000000,67232.04000000,65118.00000000,65788.36000000,7933.48282000,1770926399999,523134993.57621970,2047495,3801.36299000,250781749.27726620,0
1770926400000,65788.36000000,66488.90000000,65215.06000000,66272.17000000,3034.38929000,1770940799999,199954748.11872030,767085,1433.16047000,94428847.03057020,0
1770940800000,66272.17000000,66814.00000000,65872.46000000,66553.08000000,2583.39216000,1770955199999,171471784.54951400,829333,1354.36413000,89903437.69236380,0
1770955200000,66553.09000000,66671.62000000,66002.98000000,66208.96000000,2428.41994000,1770969599999,161035736.48433360,649466,1029.61164000,68280971.89297790,0
1770969600000,66208.96000000,67226.66000000,66191.52000000,67171.42000000,2201.58479000,1770983999999,147042475.89495000,844614,1182.92177000,79046115.59581850,0
1770984000000,67171.41000000,69309.80000000,66867.47000000,68692.12000000,6886.55091000,1770998399999,467661512.21446190,2270933,3561.54992000,241951493.47232850,0
1770998400000,68692.12000000,69482.97000000,68540.83000000,68938.91000000,4320.62247000,1771012799999,298437083.28874910,1374173,2446.15115000,168987478.89211620,0
1771012800000,68938.91000000,69079.40000000,68683.32000000,68853.96000000,1823.97928000,1771027199999,125637429.89804620,482323,850.65026000,58597043.07124920,0
1771027200000,68853.97000000,69137.50000000,68768.56000000,68981.99000000,1291.93003000,1771041599999,89092971.39829670,360289,690.68122000,47628970.21407510,0
1771041600000,68982.00000000,69343.00000000,68730.13000000,69219.26000000,2188.37379000,1771055999999,150914517.37260290,334307,1253.14057000,86422772.06482600,0
1771056000000,69219.27000000,70560.01000000,69218.71000000,70505.74000000,3530.97709000,1771070399999,246699739.22948980,836795,2057.44152000,143754217.31740140,0
1771070400000,70505.74000000,70533.67000000,69064.60000000,69778.28000000,7103.62124000,1771084799999,494341009.80890300,1145173,2136.46543000,148822646.72484230,0
1771084800000,69778.28000000,69930.90000000,69283.02000000,69873.99000000,2295.28058000,1771099199999,159968386.17114960,694171,856.29575000,59693108.28674220,0
1771099200000,69873.99000000,70250.46000000,69668.05000000,69822.95000000,1704.60120000,1771113599999,119242690.37958440,432428,863.90974000,60434358.65705420,0
1771113600000,69822.94000000,69990.02000000,69251.50000000,69954.50000000,1764.94129000,1771127999999,122855046.97132380,539563,799.25847000,55645742.87767660,0
1771128000000,69954.50000000,70926.42000000,69459.35000000,70828.42000000,4747.14422000,1771142399999,333948500.11189410,800367,2325.85621000,163842103.01407340,0
1771142400000,70828.43000000,70983.00000000,70182.31000000,70295.22000000,2073.25418000,1771156799999,146147024.82140230,674620,972.77183000,68611971.98137900,0
1771156800000,70295.22000000,70418.48000000,68772.20000000,69099.99000000,3852.56524000,1771171199999,267188458.52680400,1086479,1431.16445000,99197075.50205180,0
1771171200000,69100.00000000,69100.00000000,68000.00000000,68286.63000000,8139.52235000,1771185599999,557355357.84913150,996629,2467.41339000,169022005.83218950,0
1771185600000,68286.64000000,69078.49000000,68120.00000000,68832.58000000,1712.62480000,1771199999999,117600183.85625880,500975,865.12827000,59414199.91352930,0
1771200000000,68832.59000000,69065.50000000,68143.22000000,68424.82000000,1757.09824000,1771214399999,120437657.08292310,596677,695.41420000,47692177.99768920,0
1771214400000,68424.82000000,68900.00000000,68228.76000000,68587.90000000,1421.86090000,1771228799999,97488651.32288720,413367,752.52501000,51598474.95791740,0
1771228800000,68587.89000000,69060.77000000,68338.90000000,68812.83000000,1609.09509000,1771243199999,110671876.46980250,492579,902.47134000,62074761.43828640,0
1771243200000,68812.84000000,70126.67000000,67294.11000000,67539.52000000,6563.57157000,1771257599999,450264428.91539640,2149894,3553.96271000,244133394.27376600,0
1771257600000,67539.53000000,68245.34000000,67513.94000000,67913.43000000,2266.56859000,1771271999999,153859865.37382790,891023,1169.39289000,79412338.83710660,0
1771272000000,67913.44000000,68978.88000000,67827.11000000,68892.43000000,1897.57095000,1771286399999,130075439.08876000,690309,1079.66525000,73998044.26272620,0
1771286400000,68892.43000000,69241.50000000,68387.20000000,68474.90000000,1970.09630000,1771300799999,135593412.03758820,749614,945.53808000,65096411.70451680,0
1771300800000,68474.90000000,68707.49000000,67892.00000000,68388.12000000,1507.90265000,1771315199999,103003352.46391450,610719,657.85358000,44944682.81254990,0
1771315200000,68388.12000000,68479.17000000,67690.00000000,67854.60000000,1702.22977000,1771329599999,115739259.12991350,621344,774.02098000,52638020.52961080,0
1771329600000,67854.60000000,68360.50000000,66621.06000000,67392.05000000,5962.49538000,1771343999999,401928066.26431070,1881416,2519.16507000,169890168.16406130,0
1771344000000,67392.06000000,68235.39000000,66881.08000000,67793.32000000,4203.96684000,1771358399999,284459179.70634120,1610220,2114.80895000,143206773.59005600,0
1771358400000,67793.32000000,67928.08000000,67394.00000000,67503.52000000,1142.37827000,1771372799999,77264381.69274390,521540,527.06441000,35650134.09244550,0
1771372800000,67503.52000000,67705.65000000,66892.03000000,67629.11000000,1226.88759000,1771387199999,82553427.77735500,495054,596.80667000,40155701.17144080,0
1771387200000,67629.10000000,68219.81000000,67500.10000000,68106.44000000,1433.81961000,1771401599999,97273973.55809480,411382,836.35408000,56746693.36867540,0
1771401600000,68106.44000000,68476.22000000,67076.90000000,67369.75000000,1922.15458000,1771415999999,130457995.82371130,603108,947.78850000,64304462.52550190,0
1771416000000,67369.75000000,68347.72000000,66717.30000000,67694.01000000,4330.13695000,1771430399999,292091020.65793290,1181648,2268.98023000,153067659.65328850,0
1771430400000,67694.01000000,67706.94000000,65870.00000000,66177.14000000,4311.92393000,1771444799999,287693234.23302000,1306330,2070.01465000,138229708.91519030,0
1771444800000,66177.15000000,66550.00000000,66053.60000000,66461.00000000,2267.51573000,1771459199999,150423872.60200960,551475,1175.11294000,77953952.50446800,0
1771459200000,66461.00000000,66997.07000000,66345.00000000,66980.91000000,1337.23292000,1771473599999,89215477.42472360,411220,729.52396000,48663843.91684770,0
1771473600000,66980.91000000,67320.00000000,66679.76000000,67206.45000000,1593.15988000,1771487999999,106782407.80130980,440550,793.22494000,53175928.24421170,0
1771488000000,67206.45000000,67206.45000000,66478.02000000,66496.02000000,1879.33579000,1771502399999,125701951.64138130,566297,764.42525000,51129024.30475420,0
1771502400000,66496.03000000,66755.39000000,65631.83000000,66398.00000000,4451.59374000,1771516799999,294777171.25897810,1509439,2222.34398000,147180104.63437220,0
1771516800000,66398.01000000,67198.10000000,65899.25000000,67050.00000000,3411.99791000,1771531199999,227326562.88912690,1229638,1756.27185000,117026346.05337480,0
1771531200000,67050.00000000,67168.86000000,66652.34000000,67003.73000000,1868.94964000,1771545599999,125060001.76663290,522207,840.91743000,56280975.91854650,0
1771545600000,67003.73000000,67488.67000000,66949.41000000,67366.25000000,1472.92111000,1771559999999,99110593.96340020,459722,766.04578000,51547028.30960200,0
1771560000000,67366.25000000,68006.00000000,67115.38000000,67825.91000000,2411.47830000,1771574399999,163260352.82932990,489308,1263.08346000,85538218.47207630,0
1771574400000,67825.91000000,68318.39000000,67280.60000000,67318.41000000,3414.63472000,1771588799999,231878790.41032480,541347,1470.41187000,99927469.40115920,0
1771588800000,67318.41000000,68083.98000000,66280.20000000,67582.95000000,16088.45139000,1771603199999,1076569222.85118750,1705792,6024.68060000,403783916.04764750,0
1771603200000,67582.95000000,68000.00000000,66952.11000000,67646.03000000,9574.14680000,1771617599999,645056109.16301220,1395777,3922.37620000,264654733.10474490,0
1771617600000,67646.03000000,68233.99000000,67520.30000000,68020.01000000,2390.23859000,1771631999999,162204081.35059270,452966,1554.86243000,105518677.81001140,0
1771632000000,68020.00000000,68099.54000000,67534.69000000,67667.77000000,1582.09541000,1771646399999,107364098.12905070,262118,813.21099000,55197261.13037530,0
1771646400000,67667.77000000,67924.39000000,67593.99000000,67856.01000000,716.23217000,1771660799999,48558986.67610040,166977,365.61104000,24785950.21492470,0
1771660800000,67856.01000000,68314.54000000,67807.30000000,68092.45000000,1384.49772000,1771675199999,94339705.72475320,248922,735.48392000,50122172.05071590,0
1771675200000,68092.45000000,68698.70000000,67915.00000000,68615.00000000,1818.30536000,1771689599999,124341927.99554160,345267,944.07299000,64573284.10879380,0
1771689600000,68615.01000000,68658.50000000,68101.78000000,68543.51000000,1410.16439000,1771703999999,96460314.95431230,296404,679.45506000,46469407.04998190,0
1771704000000,68543.51000000,68605.63000000,67900.00000000,67975.93000000,1121.54626000,1771718399999,76527045.36744070,273851,465.62806000,31771618.12248840,0
1771718400000,67975.93000000,68222.16000000,67809.78000000,68041.43000000,1114.48202000,1771732799999,75773591.36485030,294020,550.52250000,37435992.21079950,0
1771732800000,68041.42000000,68178.79000000,67881.81000000,68005.30000000,923.79200000,1771747199999,62843242.09253010,234831,398.28765000,27095532.42506160,0
1771747200000,68005.30000000,68245.00000000,67912.02000000,68219.97000000,733.14137000,1771761599999,49907325.46136900,206443,321.22134000,21872463.13148130,0
1771761600000,68219.97000000,68232.40000000,67303.50000000,67684.14000000,2531.23331000,1771775999999,171259766.20740060,650400,1045.81290000,70755409.14183540,0
1771776000000,67684.15000000,67718.13000000,67190.00000000,67428.32000000,1575.66204000,1771790399999,106232820.25579240,386156,840.19008000,56653370.79245280,0
1771790400000,67428.32000000,67751.44000000,67350.00000000,67643.40000000,1296.82410000,1771804799999,87596590.19547120,389050,818.25840000,55268325.90930770,0
1771804800000,67643.39000000,67684.86000000,64290.71000000,64934.17000000,11022.66500000,1771819199999,719316556.62206750,2248116,5722.33327000,373353721.11510900,0
1771819200000,64934.18000000,66015.22000000,64685.64000000,65958.94000000,4119.82727000,1771833599999,269087200.27357270,787883,2247.84272000,146877209.14172080,0
1771833600000,65958.94000000,66600.00000000,65565.78000000,66207.23000000,3194.00092000,1771847999999,211089133.57428790,794545,1374.15421000,90806359.63322600,0
1771848000000,66207.23000000,66511.51000000,65529.73000000,65660.10000000,3796.34009000,1771862399999,250678780.50669950,1475063,1789.71293000,118155901.77018930,0
1771862400000,65660.10000000,65724.28000000,64048.71000000,64295.10000000,7179.94577000,1771876799999,465035277.95382960,1988988,3293.74106000,213497950.46326710,0
1771876800000,64295.11000000,65035.98000000,63888.79000000,64656.02000000,3763.13018000,1771891199999,242951707.19105940,974100,1960.85439000,126637717.93545030,0
1771891200000,64656.01000000,65026.75000000,63342.90000000,63595.51000000,4752.76382000,1771905599999,304582065.38072600,1747526,2171.69411000,139248890.00776990,0
1771905600000,63595.51000000,63628.52000000,62700.80000000,63192.96000000,4939.88980000,1771919999999,311930854.85339440,1370317,2267.86906000,143225584.35158040,0
1771920000000,63192.79000000,63444.66000000,62908.92000000,63227.10000000,2234.59315000,1771934399999,141250227.98406600,720838,1133.30537000,71641484.59666670,0
1771934400000,63227.11000000,64031.76000000,62510.28000000,63973.97000000,5539.65443000,1771948799999,349781798.66521920,1720495,2851.12168000,179979830.09110380,0
1771948800000,63973.98000000,64743.11000000,63689.54000000,64435.03000000,3972.72259000,1771963199999,255228016.88386350,1388406,1992.03667000,127999107.78366710,0
1771963200000,64435.03000000,64591.99000000,63820.50000000,64058.15000000,1663.21243000,1771977599999,106739195.95266600,606047,734.58337000,47140535.08691050,0
1771977600000,64058.15000000,66310.00000000,63913.27000000,65391.73000000,5187.17213000,1771991999999,340689638.66773770,1472602,2731.73543000,179335175.82490980,0
1771992000000,65391.74000000,65650.00000000,64755.26000000,65028.30000000,2632.47033000,1772006399999,171502919.96544990,758215,1184.66107000,77196713.17905790,0
1772006400000,65028.30000000,65692.62000000,64955.79000000,65430.04000000,1997.89784000,1772020799999,130658074.86146920,643233,1161.09434000,75913635.25419470,0
1772020800000,65430.04000000,67578.00000000,65324.62000000,67412.33000000,7879.83719000,1772035199999,524713731.25057690,1555450,4764.89223000,317370618.22891530,0
1772035200000,67412.32000000,69550.00000000,67404.00000000,69038.26000000,8300.46334000,1772049599999,569565261.27162990,1537142,4272.06772000,292994769.93164250,0
1772049600000,69038.26000000,69988.83000000,67600.00000000,67988.04000000,4752.15176000,1772063999999,326960076.82757140,1130073,2268.46906000,156094064.58955180,0
1772064000000,67988.04000000,68700.00000000,67727.52000000,68216.86000000,2995.47030000,1772078399999,204243504.12053410,899323,1565.27740000,106715730.27693530,0
1772078400000,68216.87000000,68860.00000000,67817.87000000,67825.04000000,2533.15622000,1772092799999,172982723.17739750,717211,1117.86277000,76390321.10498780,0
1772092800000,67825.05000000,68722.64000000,67792.00000000,68051.31000000,3268.61730000,1772107199999,223131053.39970640,685401,1693.31517000,115630783.04085930,0
1772107200000,68051.30000000,68303.83000000,66761.16000000,67382.00000000,5206.19537000,1772121599999,352032201.05368930,1467293,2489.83507000,168378083.41318150,0
1772121600000,67382.00000000,67903.12000000,66500.00000000,67589.22000000,5230.45057000,1772135999999,350888815.72281440,1251932,2579.57571000,173135255.43976070,0
1772136000000,67589.21000000,67831.11000000,67150.14000000,67485.18000000,1503.88816000,1772150399999,101496368.09041910,404977,726.63435000,49053879.17734240,0
1772150400000,67485.19000000,67712.16000000,66885.00000000,67600.84000000,2159.83450000,1772164799999,145292524.41844910,659975,1056.17610000,71057296.82815030,0
1772164800000,67600.84000000,68216.80000000,67459.30000000,67690.60000000,3025.27268000,1772179199999,204988053.09724590,552210,1562.68007000,105900344.47218440,0
1772179200000,67690.60000000,68149.93000000,65960.01000000,66126.99000000,4904.69534000,1772193599999,329331029.46336960,669348,1916.50148000,128568947.99441610,0
1772193600000,66126.99000000,66344.90000000,65649.34000000,66095.40000000,5494.93830000,1772207999999,362645055.23926720,873872,2828.14976000,186648728.60556650,0
1772208000000,66095.40000000,66121.03000000,65113.72000000,65392.18000000,3875.92624000,1772222399999,253965829.43805450,737650,1906.04873000,124889545.29536890,0
1772222400000,65392.18000000,65953.20000000,64914.46000000,65872.10000000,1767.91718000,1772236799999,115811331.90558650,363009,837.65303000,54921379.32897580,0
1772236800000,65872.09000000,66025.52000000,65721.13000000,65797.42000000,1045.74408000,1772251199999,68899635.55857210,258355,531.10528000,34998049.76019040,0
1772251200000,65797.42000000,65818.44000000,63030.00000000,63826.00000000,5914.91449000,1772265599999,379525323.42051950,1181298,2581.68058000,165440215.95831100,0
1772265600000,63825.99000000,64307.44000000,63372.10000000,63844.20000000,4734.32265000,1772279999999,302198131.48462220,839290,2511.18127000,160325892.50478620,0
1772280000000,63844.20000000,65360.51000000,63827.20000000,64841.18000000,4286.48357000,1772294399999,276667056.34675630,872267,2416.23192000,155909966.01478720,0
1772294400000,64841.17000000,66666.65000000,64681.81000000,66362.01000000,2999.13046000,1772308799999,196852498.74975260,976578,1703.20425000,111886992.60871580,0
1772308800000,66362.01000000,67760.00000000,66190.61000000,66973.26000000,3568.12124000,1772323199999,238721762.70134380,1140726,1787.70472000,119629273.58559160,0
1772323200000,66973.26000000,68199.99000000,66042.72000000,67502.16000000,4690.36208000,1772337599999,315933147.68826380,1134371,2442.68697000,164552289.30345400,0
1772337600000,67502.16000000,67612.14000000,66749.35000000,67141.39000000,3167.39554000,1772351999999,212669357.20677300,511568,1439.47357000,96649733.20076270,0
1772352000000,67141.40000000,67292.30000000,66215.71000000,66468.03000000,3250.92047000,1772366399999,216568852.66062070,747092,1290.55474000,85972583.69617980,0
1772366400000,66468.04000000,67360.57000000,66132.27000000,66842.42000000,3640.03253000,1772380799999,243482209.46349850,977418,1984.25149000,132781914.63492500,0
1772380800000,66842.42000000,67112.37000000,65699.98000000,65962.17000000,3900.17922000,1772395199999,258474615.18050360,884138,1851.84194000,122811950.74840730,0
1772395200000,65962.16000000,66491.43000000,65056.00000000,65776.47000000,4552.96875000,1772409599999,298655560.70654050,1057426,2200.96330000,144393451.26473280,0
1772409600000,65776.48000000,67079.00000000,65761.04000000,66820.03000000,2940.58836000,1772423999999,195460980.08229890,1303941,1524.12091000,101362637.73041610,0
1772424000000,66820.03000000,66995.64000000,65542.60000000,66007.52000000,3610.46533000,1772438399999,239534194.91974990,917964,1605.65166000,106447924.02076130,0
1772438400000,66007.80000000,66720.84000000,65654.54000000,66359.68000000,4361.76571000,1772452799999,288860625.94645620,1050933,1638.59296000,108469628.15129620,0
1772452800000,66359.67000000,69617.74000000,65259.21000000,69130.20000000,10831.61306000,1772467199999,729583263.70704370,2529970,5665.05190000,381886043.39922810,0
1772467200000,69130.20000000,70096.00000000,68576.18000000,68966.53000000,6828.10762000,1772481599999,473251950.17763730,1736012,3595.39783000,249280537.97357750,0
1772481600000,68966.52000000,69539.77000000,68584.90000000,68830.06000000,3437.84423000,1772495999999,237887827.01273130,858706,1307.09843000,90424773.27287130,0
1772496000000,68830.06000000,69258.08000000,68210.71000000,68377.94000000,2362.09713000,1772510399999,162194743.81252370,794636,1097.63764000,75448834.83870680,0
1772510400000,68377.94000000,68617.42000000,67800.00000000,68172.80000000,3337.11294000,1772524799999,227365622.94916710,788341,1505.96669000,102629469.15362020,0
1772524800000,68172.79000000,68311.83000000,66340.14000000,67026.61000000,6082.75912000,1772539199999,407750552.85385240,1653419,2969.12790000,198921222.36682990,0
1772539200000,67026.60000000,67973.20000000,66158.00000000,67725.81000000,5443.28880000,1772553599999,365374591.78646370,2026070,2798.01852000,187842923.14290430,0
1772553600000,67725.82000000,68999.00000000,67473.09000000,68435.00000000,5484.70019000,1772567999999,374668661.12021110,1695997,2897.05796000,197952278.61441490,0
1772568000000,68435.00000000,68860.00000000,67832.30000000,68338.00000000,2262.28362000,1772582399999,154494497.42080020,689656,1063.81329000,72666287.97821830,0
1772582400000,68338.01000000,68909.34000000,67400.00000000,67732.20000000,3814.86350000,1772596799999,260143413.79256850,1101214,1822.24839000,124322434.21267970,0
1772596800000,67732.19000000,69668.00000000,67467.60000000,69493.13000000,5088.84069000,1772611199999,348079968.97803570,874462,2935.25053000,200843812.73651400,0
1772611200000,69493.14000000,71893.00000000,69098.91000000,71111.40000000,12146.09777000,1772625599999,860248372.61271440,2080445,6349.60675000,449741422.68974450,0
1772625600000,71111.40000000,73479.75000000,70588.00000000,73396.88000000,11378.24344000,1772639999999,819140291.86714550,2248482,6609.86092000,476084764.15434480,0
1772640000000,73396.87000000,74050.00000000,72541.69000000,73611.10000000,8665.00622000,1772654399999,635919281.79953690,1604460,4228.15518000,310281592.81809570,0
1772654400000,73611.67000000,73716.00000000,72313.04000000,72666.77000000,3826.02448000,1772668799999,279333118.58245960,709239,1696.23066000,123825031.31879930,0
1772668800000,72666.77000000,73306.82000000,72336.76000000,72497.89000000,3122.96483000,1772683199999,227063662.71399990,932285,1512.82174000,110019880.23077860,0
1772683200000,72497.89000000,73081.08000000,71759.95000000,72055.50000000,4346.02458000,1772697599999,314663609.32238680,815899,1954.28028000,141532366.39430080,0
1772697600000,72055.50000000,73558.15000000,71757.17000000,72915.79000000,6262.38044000,1772711999999,455517410.83523070,1256669,2603.52155000,189366156.84905330,0
1772712000000,72915.80000000,73063.38000000,71168.65000000,71652.77000000,5607.55823000,1772726399999,404671506.83125670,1717222,2649.70885000,191312538.89633560,0
1772726400000,71652.77000000,71654.65000000,70645.47000000,70918.07000000,4306.65518000,1772740799999,306013987.50057760,1381923,2177.28168000,154742908.79395600,0
1772740800000,70918.08000000,71572.30000000,70777.00000000,70890.72000000,2944.92927000,1772755199999,209584513.18438240,605162,1401.90057000,99799611.30835280,0
1772755200000,70891.02000000,71419.98000000,70344.03000000,71080.38000000,3031.93266000,1772769599999,215330427.32559050,858814,1576.61356000,112000435.95017380,0
1772769600000,71080.37000000,71192.76000000,70143.19000000,71056.44000000,3088.31108000,1772783999999,218031219.91208960,892242,1420.87717000,100304925.98437190,0
